,DA_FB_Ht_2,DA_FB_Ht_20,DA_FB_Ht_40,DA_FB_Ht_80,DA_Ran_Ht_2,DA_Ran_Ht_20,DA_Ran_Ht_40,DA_Ran_Ht_80,DA_Reg_Ht_2,DA_Reg_Ht_20,DA_Reg_Ht_40,DA_Reg_Ht_80,DA_USPG_Ht_2,DA_USPG_Ht_20,DA_USPG_Ht_40,DA_USPG_Ht_80,ecc_clo_FB_Ht_2,ecc_clo_FB_Ht_20,ecc_clo_FB_Ht_40,ecc_clo_FB_Ht_80,ecc_clo_Ran_Ht_2,ecc_clo_Ran_Ht_20,ecc_clo_Ran_Ht_40,ecc_clo_Ran_Ht_80,ecc_clo_Reg_Ht_2,ecc_clo_Reg_Ht_20,ecc_clo_Reg_Ht_40,ecc_clo_Reg_Ht_80,ecc_clo_USPG_Ht_2,ecc_clo_USPG_Ht_20,ecc_clo_USPG_Ht_40,ecc_clo_USPG_Ht_80,lpsi_FB_Ht_2,lpsi_FB_Ht_20,lpsi_FB_Ht_40,lpsi_FB_Ht_80,lpsi_Ran_Ht_2,lpsi_Ran_Ht_20,lpsi_Ran_Ht_40,lpsi_Ran_Ht_80,lpsi_Reg_Ht_2,lpsi_Reg_Ht_20,lpsi_Reg_Ht_40,lpsi_Reg_Ht_80,lpsi_USPG_Ht_2,lpsi_USPG_Ht_20,lpsi_USPG_Ht_40,lpsi_USPG_Ht_80,mdl_FB_Ht_2,mdl_FB_Ht_20,mdl_FB_Ht_40,mdl_FB_Ht_80,mdl_Ran_Ht_2,mdl_Ran_Ht_20,mdl_Ran_Ht_40,mdl_Ran_Ht_80,mdl_Reg_Ht_2,mdl_Reg_Ht_20,mdl_Reg_Ht_40,mdl_Reg_Ht_80,mdl_USPG_Ht_2,mdl_USPG_Ht_20,mdl_USPG_Ht_40,mdl_USPG_Ht_80
56,2,4,1,3,1,1,2,4,1,1,2,6,1,14,19,21,2,2,1,4,0,0,0,3,1,0,3,7,1,7,11,12,1,2,3,4,1,1,3,4,4,2,3,6,5,1,12,22,2,2,2,2,1,3,3,5,2,1,2,6,6,2,14,17
57,0,1,3,1,1,0,2,4,1,1,0,1,5,15,16,19,1,1,2,2,1,0,3,3,0,0,0,7,2,9,9,11,0,2,2,4,3,3,1,4,2,4,0,5,6,16,10,23,1,2,2,2,4,2,5,5,1,2,0,1,3,9,8,19
58,1,1,2,4,0,0,2,1,0,3,1,0,4,18,14,18,1,1,2,2,0,0,3,3,0,0,0,5,3,11,6,6,0,2,2,4,1,1,4,4,0,3,3,7,8,1,11,16,1,2,2,4,3,2,5,5,0,3,2,0,3,10,15,11
59,1,1,1,1,0,0,4,4,0,0,1,4,8,8,17,16,2,1,3,2,0,0,4,4,0,0,1,8,4,4,6,12,2,2,4,4,1,3,5,3,2,2,5,6,10,15,9,22,2,2,2,2,3,4,5,4,0,0,2,4,2,13,10,16
60,0,2,2,1,0,0,3,5,1,5,0,3,2,12,15,12,1,2,2,3,0,0,3,4,0,1,1,5,3,7,9,10,1,3,4,4,1,2,4,2,1,5,4,4,5,11,10,22,1,2,2,2,2,4,3,3,1,5,0,3,5,8,11,19
61,1,1,5,2,1,1,2,4,0,1,1,5,7,11,12,13,1,1,4,1,0,0,1,4,0,0,1,7,2,5,4,12,2,2,2,3,1,4,2,5,1,3,0,5,10,9,10,7,0,2,2,3,2,4,3,6,1,0,1,5,1,8,11,14
62,1,1,1,3,0,1,1,3,0,0,1,3,7,14,18,17,1,1,1,4,0,0,0,4,0,0,1,8,6,6,10,9,2,2,2,4,1,3,3,4,2,1,4,7,0,11,18,14,2,2,2,2,2,4,5,5,0,0,1,3,1,14,10,22
63,1,1,3,3,0,0,3,3,0,3,0,2,2,13,14,18,1,1,2,1,0,0,0,3,0,0,8,7,1,7,5,12,2,2,2,3,0,3,3,4,2,4,0,5,3,15,12,15,2,2,2,3,3,2,4,5,1,3,4,2,4,8,10,19
64,2,1,3,3,1,2,2,4,2,1,1,2,0,8,19,16,1,1,2,2,0,0,0,4,1,1,0,8,0,5,9,8,2,2,2,2,1,3,3,4,2,1,4,2,4,10,17,6,2,2,2,4,3,4,4,5,2,1,2,2,5,13,8,7
65,1,3,2,3,0,0,3,2,2,1,2,2,9,6,18,16,1,1,2,4,0,0,2,4,1,1,1,5,7,1,8,11,2,2,2,2,0,3,4,3,3,4,4,8,6,7,18,19,2,2,2,4,2,3,4,4,3,2,2,2,11,6,10,22
66,1,1,1,5,1,2,3,3,2,1,3,3,4,14,17,19,1,1,2,4,1,1,3,2,0,0,2,7,4,4,6,10,2,2,4,2,0,3,4,4,4,1,3,4,1,13,13,16,2,2,2,2,0,3,5,5,3,1,3,3,0,8,10,14
67,1,2,2,3,0,0,3,4,1,0,0,3,5,14,15,26,1,1,2,1,0,0,3,4,0,0,1,8,3,6,6,10,2,2,4,3,0,2,4,4,2,4,4,3,6,13,12,23,2,2,2,4,3,4,5,5,2,0,0,3,4,9,17,9
68,1,1,2,4,0,0,3,3,1,1,2,2,3,1,15,15,1,1,1,4,0,0,4,4,0,0,0,7,4,5,7,6,1,2,4,6,2,2,3,4,1,3,0,3,6,6,14,19,1,2,2,2,3,4,4,4,1,1,2,2,7,9,11,13
69,1,1,1,3,1,0,3,3,2,0,1,2,5,8,23,17,1,1,3,1,0,0,3,4,2,0,1,3,3,5,9,8,1,2,2,5,1,3,4,4,4,1,3,3,6,12,12,14,2,2,2,3,1,4,4,4,3,0,2,2,6,13,10,11
70,1,2,1,3,0,0,1,4,1,0,3,2,6,12,13,14,1,1,1,2,0,0,3,5,0,1,6,6,3,11,4,6,1,2,4,4,0,1,3,4,3,3,2,6,5,7,13,20,2,2,2,2,3,3,4,4,2,0,3,2,5,8,9,20
